,Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills
4848,"Associate, Data Engineer, Healthcare",100000-119999,data_engineer,"['Linux', 'Hive', 'Azure', 'Perl', 'SQL', 'Big Data', 'Informatica', 'Software Development', 'OOP', 'PowerShell', 'Pentaho', 'Hadoop', 'Tableau', 'Teradata', '.Net', 'Alteryx', 'MongoDB', 'Spark', 'Shell Scripting', 'Python']",20
4849,Master Data Engineer,100000-119999,data_engineer,"['Machine Learning', 'Microsoft Powerpoint', 'Project Management', 'R', 'Management Experience', 'Tableau', 'Data Warehouse', 'Data Analysis', 'PostgreSQL', 'Python', 'Military Experience', 'AWS']",12
4850,Senior Data Engineer,100000-119999,data_engineer,"['Microsoft SQL Server', 'XML', 'SQL', 'JSON', 'Big Data', 'MySQL', 'Data Analysis', 'PostgreSQL', 'SOAP', 'Scripting', 'Teradata', 'Shell Scripting', 'REST', 'AWS']",14
4851,Data Engineer II,100000-119999,data_engineer,"['Microsoft SQL Server', 'PowerShell', 'TFS', 'SDLC', 'CI/CD', 'SAS', 'SQL', 'IaaS', 'Visual Studio', 'Troubleshooting', 'Data Warehouse', 'OpenStack', 'Python', 'AWS']",14
4852,Data Engineer II,100000-119999,data_engineer,"['Microsoft SQL Server', 'PowerShell', 'TFS', 'SDLC', 'CI/CD', 'SAS', 'SQL', 'IaaS', 'Visual Studio', 'Troubleshooting', 'Data Warehouse', 'OpenStack', 'Python', 'AWS']",14
4853,Cloud Data Engineer,100000-119999,data_engineer,"['Linux', 'Hive', 'R', 'DynamoDB', 'C/C++', 'SQL', 'Big Data', 'C#', 'Informatica', 'PostgreSQL', 'Jira', 'Data Mining', 'Scripting', 'Scala', 'Oracle', 'SAS', 'Tableau', '.Net', 'Java', 'Alteryx']",20
4854,Data Engineer III,100000-119999,data_engineer,"['Microsoft SQL Server', 'Power BI', 'Hadoop', 'Azure', 'HDI Certification', 'SQL', 'Big Data', 'Spark', 'REST']",9
4855,Lead Big Data Engineer,100000-119999,data_engineer,"['Hive', 'R', 'SQL', 'Big Data', 'Jenkins', 'Jira', 'Hadoop', 'Scala', 'Kafka', 'CI/CD', 'Tableau', 'Java', 'Git', 'Python']",14
4856,Data Engineer IV,100000-119999,data_engineer,"['Microsoft SQL Server', 'Power BI', 'Hadoop', 'Azure', 'HDI Certification', 'SQL', 'Big Data', 'Spark', 'REST']",9
4857,Sr Data Engineer,100000-119999,data_engineer,"['Pig', 'Hive', 'Hadoop', 'SQL', 'Java', 'Big Data', 'Cassandra', 'MySQL', 'NoSQL', 'Shell Scripting', 'Python']",11
4858,Data Engineer IV,100000-119999,data_engineer,"['Pig', 'Hive', 'Power BI', 'R', 'SQL', 'Hadoop', 'Kafka', 'Tableau', 'Spark', 'Git', 'Docker', 'Shell Scripting', 'Python']",13
4859,Data Engineer III,100000-119999,data_engineer,"['Microsoft SQL Server', 'Power BI', 'Hadoop', 'Azure', 'HDI Certification', 'SQL', 'Big Data', 'Spark', 'REST']",9
4860,Staff Data Engineer,100000-119999,data_engineer,"['Pig', 'SOAP', 'Scripting', 'Hadoop', 'Perl', 'SQL', 'HBase', 'Java', 'Cassandra', 'MongoDB', 'Spark', 'NoSQL', 'REST', 'Python']",14
4861,"Data Engineer, Mid",100000-119999,data_engineer,"['Hive', 'XML', 'CompTIA Security+', 'Scala', 'HBase', 'JSON', 'Java', 'CISSP', 'MySQL', 'Cassandra', 'MongoDB', 'Data Warehouse', 'PostgreSQL', 'NoSQL']",14
4862,"Data Engineer, Mid",100000-119999,data_engineer,"['Hive', 'XML', 'CompTIA Security+', 'Scala', 'HBase', 'JSON', 'Java', 'CISSP', 'MySQL', 'Cassandra', 'MongoDB', 'Data Warehouse', 'PostgreSQL', 'NoSQL']",14
4863,Machine Learning Data Engineer,100000-119999,data_engineer,"['Pig', 'Linux', 'Hive', 'Machine Learning', 'Perl', 'SQL', 'Big Data', 'Design Experience', 'PostgreSQL', 'Military Experience', 'JavaScript', 'Hadoop', 'Scripting', 'Scala', 'Management Experience', 'HBase', 'ZooKeeper', 'Java', 'Cassandra', 'Angular']",20
4864,Master Data Engineer,100000-119999,data_engineer,"['Linux', 'Database Administration', 'Scripting', 'Hadoop', 'Kafka', 'CI/CD', 'SQL', 'Kanban', 'Spark', 'Data Warehouse', 'OpenStack', 'Shell Scripting', 'Python', 'Military Experience', 'AWS']",15
